datetime,Platform Name,location,priority,monitoring item
9/30/2019 6:33,platform 1,location 1,WARNING,Consumer
9/30/2019 6:23,platform 1,location 1,WARNING,Consumer
9/30/2019 6:18,platform 1,location 1,WARNING,Consumer
9/30/2019 6:13,platform 1,location 1,WARNING,Consumer
9/30/2019 6:08,platform 1,location 1,WARNING,Consumer
9/30/2019 6:03,platform 1,location 1,WARNING,Consumer
9/30/2019 5:58,platform 1,location 1,WARNING,Consumer
9/30/2019 5:53,platform 1,location 1,WARNING,Consumer
9/30/2019 5:48,platform 1,location 1,WARNING,Consumer
9/30/2019 5:43,platform 1,location 1,WARNING,Consumer
9/30/2019 5:38,platform 1,location 1,WARNING,Consumer
9/30/2019 5:33,platform 1,location 1,WARNING,Consumer
9/30/2019 5:28,platform 1,location 1,WARNING,Consumer
9/30/2019 5:23,platform 1,location 1,WARNING,Consumer
9/30/2019 5:18,platform 1,location 1,WARNING,Consumer
9/30/2019 5:13,platform 1,location 1,WARNING,Consumer
9/30/2019 5:08,platform 1,location 1,WARNING,Consumer
9/30/2019 5:03,platform 1,location 1,WARNING,Consumer
9/30/2019 4:58,platform 1,location 1,WARNING,Consumer
9/30/2019 4:53,platform 1,location 1,WARNING,Consumer
9/30/2019 4:48,platform 1,location 1,WARNING,Consumer
9/30/2019 4:43,platform 1,location 1,WARNING,Consumer
9/30/2019 4:38,platform 1,location 1,WARNING,Consumer
9/30/2019 4:33,platform 1,location 1,WARNING,Consumer
9/30/2019 4:28,platform 1,location 1,WARNING,Consumer
9/30/2019 4:23,platform 1,location 1,WARNING,Consumer
9/30/2019 4:18,platform 1,location 1,WARNING,Consumer
9/30/2019 4:13,platform 1,location 1,WARNING,Consumer
9/30/2019 4:08,platform 1,location 1,WARNING,Consumer
9/30/2019 4:03,platform 1,location 1,WARNING,Consumer
9/30/2019 3:58,platform 1,location 1,WARNING,Consumer
9/30/2019 3:53,platform 1,location 1,WARNING,Consumer
9/30/2019 3:48,platform 1,location 1,WARNING,Consumer
9/30/2019 3:43,platform 1,location 1,WARNING,Consumer
9/30/2019 3:38,platform 1,location 1,CRITICAL,Consumer
9/30/2019 3:33,platform 1,location 1,WARNING,Consumer
9/30/2019 3:28,platform 1,location 1,WARNING,Consumer
9/30/2019 3:23,platform 1,location 1,WARNING,Consumer
9/30/2019 3:18,platform 1,location 1,CRITICAL,Consumer
9/30/2019 3:13,platform 1,location 1,WARNING,Consumer
9/30/2019 3:08,platform 1,location 1,WARNING,Consumer
9/30/2019 3:03,platform 1,location 1,WARNING,Consumer
9/30/2019 2:58,platform 1,location 1,CRITICAL,Consumer
9/30/2019 2:53,platform 1,location 1,WARNING,Consumer
9/30/2019 2:48,platform 1,location 1,WARNING,Consumer
9/30/2019 2:43,platform 1,location 1,WARNING,Consumer
9/30/2019 2:38,platform 1,location 1,WARNING,Consumer
9/30/2019 2:33,platform 1,location 1,WARNING,Consumer
9/30/2019 2:28,platform 1,location 1,WARNING,Consumer
9/30/2019 2:23,platform 1,location 1,CRITICAL,Consumer
9/30/2019 2:18,platform 1,location 1,CRITICAL,Consumer
9/30/2019 2:13,platform 1,location 1,WARNING,Consumer
9/30/2019 2:08,platform 1,location 1,WARNING,Consumer
9/30/2019 2:03,platform 1,location 1,WARNING,Consumer
9/30/2019 1:58,platform 1,location 1,WARNING,Consumer
9/30/2019 1:53,platform 1,location 1,WARNING,Consumer
9/30/2019 1:48,platform 1,location 1,WARNING,Consumer
9/30/2019 1:43,platform 1,location 1,WARNING,Consumer
9/30/2019 1:38,platform 1,location 1,WARNING,Consumer
9/30/2019 1:33,platform 1,location 1,WARNING,Consumer
9/30/2019 1:28,platform 1,location 1,WARNING,Consumer
9/30/2019 1:23,platform 1,location 1,WARNING,Consumer
9/30/2019 1:18,platform 1,location 1,WARNING,Consumer
9/30/2019 1:13,platform 1,location 1,WARNING,Consumer
9/30/2019 1:08,platform 1,location 1,WARNING,Consumer
9/30/2019 1:03,platform 1,location 1,WARNING,Consumer
9/30/2019 0:58,platform 1,location 1,WARNING,Consumer
9/30/2019 0:53,platform 1,location 1,WARNING,Consumer
9/30/2019 0:48,platform 1,location 1,WARNING,Consumer
9/30/2019 0:43,platform 1,location 1,WARNING,Consumer
9/30/2019 0:38,platform 1,location 1,WARNING,Consumer
9/30/2019 0:33,platform 1,location 1,WARNING,Consumer
9/30/2019 0:28,platform 1,location 1,WARNING,Consumer
9/30/2019 0:23,platform 1,location 1,WARNING,Consumer
9/30/2019 0:18,platform 1,location 1,WARNING,Consumer
9/30/2019 0:13,platform 1,location 1,WARNING,Consumer
9/30/2019 0:08,platform 1,location 1,WARNING,Consumer
9/30/2019 0:03,platform 1,location 1,WARNING,Consumer
9/29/2019 23:58,platform 1,location 1,WARNING,Consumer
9/29/2019 23:53,platform 1,location 1,WARNING,Consumer
9/29/2019 23:48,platform 1,location 1,WARNING,Consumer
9/29/2019 23:43,platform 1,location 1,WARNING,Consumer
9/29/2019 23:38,platform 1,location 1,WARNING,Consumer
9/29/2019 23:33,platform 1,location 1,WARNING,Consumer
9/29/2019 23:28,platform 1,location 1,WARNING,Consumer
9/29/2019 23:23,platform 1,location 1,WARNING,Consumer
9/29/2019 23:18,platform 1,location 1,WARNING,Consumer
9/29/2019 23:13,platform 1,location 1,WARNING,Consumer
9/29/2019 23:08,platform 1,location 1,WARNING,Consumer
9/29/2019 23:03,platform 1,location 1,WARNING,Consumer
9/29/2019 22:53,platform 1,location 1,WARNING,Consumer
